,No,Id,Type,Secteur,Largeur,Hauteur,Soudure,Peinture,Finition,Setup,Finition_Long,Palette
1001,C-3312-3336-A112,3336,Plafond,13,36.0,64.8125,60,2.000385802469136,25,0,1,144
1002,C-3312-3337-A112,3337,Plafond,13,30.375,64.8125,50,2.000385802469136,10,0,0,144
1003,C-3312-3338-A112,3338,Plafond,13,38.0,64.8125,60,2.000385802469136,25,0,1,144
1004,C-3312-3339-A112,3339,Plafond,13,48.0,104.375,60,3.2214506172839505,25,0,1,144
1005,C-3312-3340-A1,3340,Mur,13,43.0,104.375,20,3.2214506172839505,5,0,0,143
1006,C-3312-3340-A112,3340,Plafond,13,43.0,104.375,50,3.2214506172839505,10,0,0,144
1007,C-3312-3341-A112,3341,Plafond,13,43.0,104.375,60,3.2214506172839505,25,0,1,145
1008,C-3312-3342-A112,3342,Plafond,13,43.0,104.375,50,3.2214506172839505,10,0,0,145
1009,C-3312-3343-A112,3343,Plafond,13,43.0,104.375,50,3.2214506172839505,10,0,0,145
1010,C-3312-3344-A112,3344,Plafond,13,43.0,104.375,60,3.2214506172839505,25,0,1,145
1011,C-3312-3345-A112,3345,Plafond,13,8.3125,104.375,50,3.2214506172839505,10,0,0,145
1012,C-3312-3346-A112,3346,Plafond,13,37.125,151.0625,60,4.662422839506173,25,0,1,145
1013,C-3312-3347-A112,3347,Plafond,13,43.0,151.0625,50,4.662422839506173,10,0,0,145
1014,C-3312-3348-A112,3348,Plafond,13,43.0,151.0625,60,4.662422839506173,25,0,1,146
1015,C-3312-3349-A1,3349,Mur,13,43.0,151.0625,65,4.662422839506173,5,0,0,143
1016,C-3312-3349-A112,3349,Plafond,13,43.0,151.0625,50,4.662422839506173,10,0,0,146
1017,C-3312-3350-A112,3350,Plafond,13,48.9375,116.25,60,3.5879629629629632,25,0,1,146
1018,C-3312-3351-A112,3351,Plafond,13,48.9375,49.875,60,1.5393518518518519,25,0,1,146
938,C-3312-3352-A112,3352,Plafond,12,29.3125,72.0,50,2.2222222222222223,10,0,0,146
937,C-3312-3352-A1,3352,Mur,12,29.3125,72.0,20,2.2222222222222223,5,0,0,143
939,C-3312-3353-A112,3353,Plafond,12,43.0,72.0,60,2.2222222222222223,25,0,1,146
940,C-3312-3354-A1,3354,Mur,12,43.0,72.0,20,2.2222222222222223,5,0,0,143
941,C-3312-3354-A112,3354,Plafond,12,43.0,72.0,50,2.2222222222222223,10,0,0,146
942,C-3312-3355-A112,3355,Plafond,12,43.0,72.0,60,2.2222222222222223,25,0,1,147
943,C-3312-3356-A112,3356,Plafond,12,43.0,108.25,60,3.3410493827160495,25,0,1,147
944,C-3312-3357-A1,3357,Mur,12,43.0,108.25,20,3.3410493827160495,5,0,0,143
945,C-3312-3357-A112,3357,Plafond,12,43.0,108.25,50,3.3410493827160495,10,0,0,147
946,C-3312-3358-A112,3358,Plafond,12,43.0,108.25,60,3.3410493827160495,25,0,1,147
948,C-3312-3359-A112,3359,Plafond,12,43.0,108.25,50,3.3410493827160495,10,0,0,147
947,C-3312-3359-A1,3359,Mur,12,43.0,108.25,20,3.3410493827160495,5,0,0,148
949,C-3312-3360-A112,3360,Plafond,12,43.0,108.25,60,3.3410493827160495,25,0,1,147
951,C-3312-3361-A112,3361,Plafond,12,22.0,108.25,20,3.3410493827160495,5,0,0,147
950,C-3312-3361-A1,3361,Mur,12,22.0,108.25,20,3.3410493827160495,5,0,0,148
